ordinal_position,column_name,bucket,profile_status,non_empty_rows,non_empty_pct,distinct_non_empty_values,sample_values,matched_lookup_or_vocab,note
162,citylandmarkdist,coded_data,coded_no_lookup,135894,100.00,9,0 | 14 | 2 | 26 | 28,,Coded field; no matching lookup table or published vocabulary has been linked yet.
163,certlocalhistdist,coded_data,coded,135894,100.00,9,0 | 1 | 10 | 3 | 4,staging.prclcode_cdlocalcertdist,Coded field; related lookup or vocabulary: staging.prclcode_cdlocalcertdist.
164,localhistdist,coded_data,coded,135894,100.00,9,0 | 11 | 12 | 13 | 14,staging.prclcode_cdlocalhistdist,Coded field; related lookup or vocabulary: staging.prclcode_cdlocalhistdist.
165,nathistdist,coded_data,coded,135894,100.00,79,0 | 1 | 10 | 11 | 12,staging.prclcode_cdnathistdist,Coded field; related lookup or vocabulary: staging.prclcode_cdnathistdist.
166,nathistlandmark,coded_data,coded,135894,100.00,13,0 | 10 | 11 | 12 | 13,staging.prclcode_cdnatlandmark,Coded field; related lookup or vocabulary: staging.prclcode_cdnatlandmark.
167,natregsite,coded_data,coded,135894,100.00,283,0 | 1 | 10 | 100 | 102,staging.prclcode_cdnatregister,Coded field; related lookup or vocabulary: staging.prclcode_cdnatregister.
168,presrevdist,coded_data,coded,135894,100.00,27,0 | 1 | 10 | 11 | 12,related to city vocabulary 39 (Parcel Attribute Type),Coded field; related lookup or vocabulary: related to city vocabulary 39 (Parcel Attribute Type).
169,zip,actual_data,literal,135894,100.00,31,63101 | 63102 | 63103 | 63104 | 63105,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
170,floodplain,coded_data,coded,135894,100.00,7,0 | 10 | 11 | 30 | 31,related to city vocabulary 39 (Parcel Attribute Type),Coded field; related lookup or vocabulary: related to city vocabulary 39 (Parcel Attribute Type).
171,onfloodblock,coded_data,boolean,135894,100.00,2,0 | 1,,Boolean-like flag stored as 0/1 in staging.
172,specparceltype,coded_data,coded,638,0.47,5,C | G | K | S | X,staging.prclcode_cdspecparceltype,Coded field; related lookup or vocabulary: staging.prclcode_cdspecparceltype.
173,subparceltype,coded_data,coded,8894,6.54,10,A | C | E | G | K,staging.prclcode_cdsubparceltype,Coded field; related lookup or vocabulary: staging.prclcode_cdsubparceltype.
174,nbrofsubaccts,actual_data,literal,135894,100.00,2,0 | 1,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
175,nbrofcondos,actual_data,literal,135894,100.00,74,0 | 10 | 100 | 102 | 103,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
176,lrmsparcel,coded_data,boolean,135894,100.00,2,0 | 1,,Boolean-like flag stored as 0/1 in staging.
177,acctprimary,coded_data,boolean,135894,100.00,2,0 | 1,,Boolean-like flag stored as 0/1 in staging.
178,gisprimary,coded_data,boolean,135894,100.00,2,0 | 1,,Boolean-like flag stored as 0/1 in staging.
179,giscityblock,actual_data,literal,135894,100.00,5718,1184.04 | 2571 | 4699.05 | 3542 | 3226,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
180,gisparcel,actual_data,literal,135894,100.00,943,0 | 1 | 10 | 100 | 101,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
181,gisownercode,coded_data,coded_no_lookup,135894,100.00,4,0 | 1 | 5 | 7,,Coded field; no matching lookup table or published vocabulary has been linked yet.
182,handle,actual_data,literal,135894,100.00,127001,10001000005 | 10001000010 | 10001000020 | 10001000032 | 10001000034,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
183,parcel9,actual_data,literal,135894,100.00,135017,100000010 | 100000020 | 100000030 | 100000040 | 100000050,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
184,ownerocc,coded_data,coded,61677,45.39,6,1 | 2 | 4 | 5 | C,staging.prclcode_cdownerocccode,Coded field; related lookup or vocabulary: staging.prclcode_cdownerocccode.
185,firstdate,actual_data,literal,135894,100.00,1390,01/01/06 00:00:00 | 01/01/17 00:00:00 | 01/01/23 00:00:00 | 01/02/05 00:00:00 | 01/02/11 00:00:00,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
186,lastdate,actual_data,literal,135894,100.00,1,04/17/26 00:00:00,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
187,ownerupdate,actual_data,literal,134582,99.03,8608,09/21/90 00:00:00 | 11/03/03 00:00:00 | 08/11/93 00:00:00 | 08/04/17 00:00:00 | 06/19/19 00:00:00,,"Stores literal values such as identifiers, names, text, dates, counts, or amounts."
